4002,好像庄家不怎么给力，还是三十六计吧,明天有利好，买进,None,天奇股份,2
4003,高手们看看，今天的走势咋样，要不要跑。,高手们看看，今天的走势咋样，要不要跑。,None,宝硕股份,2
4005,今天主力节奏踏得不错，节奏踏对了，省力又挣钱，大家都高兴，踏错了大家都哭起张脸。,今天主力节奏踏得不错，节奏踏对了，省力又挣钱，大家都高兴，踏错了大家都哭起张脸。,None,宝硕股份,1
4007,端個板凳看跳水,端個板凳看跳水[大笑],None,华升股份,0
4008,这个股票有望上12元。目前整理上升阶段。在三个月内可以的,这个股票有望上12元。目前整理上升阶段。在三个月内可以的,None,秀强股份,1
4009,股指期货空头惊现爆仓,惊现爆仓,None,中达股份,2
4011,？,看似又是短期头部，将等待182反复,None,国栋建设,0
4013,你明白,山西人刚刚从南京回来,None,南京高科,2
4014,没什么好说的，大盘如此强势，你的个股如果强版块个股的涨幅都没达到，当抛。有色，还是扛大旗的主力。走人。,当涨不涨，抛！,None,厦工股份,0
4015,,不急，淡定,None,*ST商城,2
