1001,420出了，鸟庄,420出了，鸟庄,股东,吉林化纤,2
1002,什么情况？怎么压单被吃了啊。今天不是不能涨过9毛7么？,什么情况？怎么压单被吃了啊。,None,深振业A,2
1003,只要syrsyr看好，马上抛，没错的,只要syrsyr看好，马上抛，没错的,None,国发股份,2
1004,一个字：买！两个字！买买！,一个字：买！两个字！买买！,None,蒙草抗旱,1
1005,每天都高开低走？,每天都高开低走？,股东,劲胜精密,0
1006,大家不要担心，今天还是涨停！,大家不要担心，今天还是涨停！,None,广晟有色,2
1007,准 备 上 攻！@ 准 备 上 攻！,主 力 资 金 调 整 到 位 ，准 备 上 攻！,None,新南洋,1
1008,自认倒霉,已经这样千万不要割了力生去追大盘,股东,力生制药,2
1009,大家说说,今天有涨停的可能吗？,股东,中国国旅,2
1010,后市看好继续走高  ａｚ,股价突破进入强势拉升通道，后市看好继续走高,None,曙光股份,1
1011,主力不看好。,此股就是一个垃圾股。,股东,安居宝,0
1012,如题~~穷地方出恶庄~~刁股瘟股一只！,岳阳林纸真是个瘟股啊~大盘涨那么多它才涨几分~~,None,岳阳林纸,2
1013,还不如买中国国航,还不如买中国国航,股东,南方航空,1
1014,新高了卖七元左右买回来,又要创新高了,股东,普洛药业,2
1015,金杜律师所接管了长油，考虑到第一央企退市--&gt;重生，和市场影响力及国内/国外的影响，金社必需拿出一个有利于散户的方案！应充分考虑散户的严重亏损的现实状况！！从而赢得中心股东的广泛认同，借此金社也同时树立起金杜律师全球品牌形象，提高金杜律师所在全国广泛的知名度和影响力！一举多得！请金社多为散户考虑，拿出促成长油重整多方共赢方案！thanks !,金杜将采取的什么方案呢？讨论中。,股东,退市长油,2
1016,什么都不缺了，等风来吧,什么都不缺了，等风来吧,股东,天通股份,1
1017,"你就继续装,看你能压多久!!能低价压盘,又不被抢筹码,其实也是种能力!!",你大哥新湖中宝又勃起了!!,None,哈高科,2
1018,再忍一忍。。淡淡定定,TMD！越 看 越 火 了！后悔啊,None,哈高科,2
1019,放量了,终于解套了，会涨停吗,股东,乐凯胶片,1
1020,600695,600695,股东,哈高科,2
1021,手中有股，心中无股。,持有此股的朋友注意了...,None,澳洋科技,2
1022,14.9,妖镍  还不涨停等到何时,股东,吉恩镍业,1
1023,没实力啊。,巢东=八一节 发 矿泉水 每瓶=6分。,股东,巢东股份,0
1024,今天如果中阳，我就重仓为主力加油,今天如果中阳，我就重仓为主力加油,None,全柴动力,2
1025,呵呵,一无是处，今天跌停无悬念！衰庄！,股东,维科精华,0
1026,要不一会哭都找不着调,调整  ，快卖,股东,安琪酵母,0
1027,你大爷！,你大爷！,股东,红豆股份,0
1028,如题,短线看空,股东,华业地产,0
1029,期待,今天突破9.6是大概率吧,None,巢东股份,2
1030,首创已放量，看谁有胆量！踏上涨停板！歌声真嘹亮!,首创大涨,None,首创股份,1
1031,是不是太多了？,请问这次是增发5亿吗？,None,宝光股份,2
1032,就要八月了,就要八月了,股东,中央商场,2
1033,rt,同意问候庄她全家的举手,None,时代新材,2
1034,神秘主力明天开始拉升股价 FFF,各路资金表演结束，神秘主力明天开始拉升股价,None,宝钢股份,1
1035,盘中暗示两点，后市三倍上涨空间！y,盘中暗示两点，后市三倍上涨空间！,None,国中水务,1
1036,高度控盘之后还有3被涨幅空间 FFF,重磅信号，主力走向，快拉升了，高度控盘之后还有3被涨幅空间,None,宝钢股份,1
1037,双头已成必下跌。,双头,None,精艺股份,0
1038,华发转型后100倍,高露洁棕榄上涨760倍，宝洁公司上涨513倍,None,华发股份,2
1039,为啥停牌？,为啥停牌？,股东,三花股份,2
1040,紫江已死，可我却被骗进来了，唉！,紫江已死，可我却被骗进来了，唉！,None,紫江企业,0
