2001,公告，关于公司拟筹建设立的民营银行客商银行股份有限公司，名称保留期至2014年10月30日,公告，关于公司拟筹建设立的民营银行客商银行股份有限公司，名称保留期至2014年10月30,None,宝新能源,2
2002,我看是主力出货做别的票去了、、,大盘都涨了2%，他居然跑不过大盘、、,None,江淮汽车,0
2003,猪票涨不好好涨跌不好好跌你他妈的去吃屎不陪你耍了！,000702你简直就是奇葩！,None,正虹科技,2
2004,没几个钱的主力，只会捣乱！这票还是要看大户了！,没几个钱的主力，只会捣乱！,股东,江淮汽车,2
2005,刚玉没戏，今逢高走人，亏点再不碰他，太垃圾了,刚玉没戏，今逢高走人，亏点再不碰他，太垃圾了,股东,太原刚玉,0
2006,不到15不放手！这波行情坚信会到15以上。,不到15不放手！,None,江淮汽车,1
2007,突然拉到9%，看用了多少钱，上周5某档财经栏目推荐的股，不排除诱多的嫌疑。,无量上攻，不是来逗的吗,股东,奇正藏药,1
2008,庄家已经发出启动信号,庄家发出了启动信号 紧跟主力,None,江淮汽车,1
2009,里面有几个傻逼    我只能呵呵   再次嘲笑一下你们了   拿着憋屈不,里面有几个傻逼    我只能呵呵   再次嘲笑一下你们了   拿着憋屈不,股东,章源钨业,0
2010,弱不经风，给老子丢脸。,弱不经风，给老子丢脸。,股东,江淮汽车,1
2011,就是002098！！！,十送八的股票好找吗？,None,浔兴股份,2
2012,,现在 加仓： 江淮汽车 真的适合高抛低吸！,None,江淮汽车,1
2013,这手法，真是笑掉大牙了！,这手法，真是笑掉大牙了！,None,浔兴股份,2
2014,这狗日的就这样了，撤！,这狗日的就这样了，撤！,None,江淮汽车,0
2015,自从买了浔兴股份，出门都抬不起头啊！丢不起这个人啊！,自从买了浔兴股份，出门都抬不起头啊！丢不起这个人啊！,None,浔兴股份,1
2016,在家看着办吧，老子先撤了！,两个缺口啦,None,江淮汽车,0
2017,我代表人民将终身垃圾奖项授予施能坑先生！,我代表人民将终身垃圾奖项授予施能坑先生！,None,浔兴股份,0
2018,12.30出了 不知道对不对,12.30出了 不知道对不对,股东,江淮汽车,2
